Sonderfall)";Energieträger;"Spezifizierung ""Mehrere Energieträger"" und ""Sonstige Energieträger"" - Hauptbrennstoff";"Spezifizierung ""Mehrere Energieträger"" - Zusatz- / Ersatzbrennstoffe";"Auswertung
Energieträger (Zuordnung zu einem Hauptenergieträger bei Mehreren Energieträgern)";"Vergütungsfähig nach EEG
(ja/nein)";"Wärmeauskopplung (KWK)
(ja/nein)";Netto-Nennleistung (elektrische Wirkleistung) in MW;Bezeichnung Verknüpfungspunkt (Schaltanlage) mit dem Stromnetz der Allgemeinen Versorgung gemäß Netzbetreiber;Netz- oder Umspannebene des Anschlusses in kV;Name Stromnetzbetreiber
BNA1791;;Alt- Bennebek;24848;Alt Bennebek;Gem. Alt Bennebek, Fl. 3, Flst. 32;Schleswig-Holstein;;2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;15,3;;;
BNA0015;EnBW Energie Baden-Württemberg AG;Heizkraftwerk Altbach/Deizisau;73776;Altbach;Industriestraße 11;Baden-Württemberg;ALT GT E (solo);1997;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;65,0;Altbach;110;Netze BW GmbH
BNA0016;EnBW Energie Baden-Württemberg AG;Heizkraftwerk Altbach/Deizisau;73776;Altbach;Industriestraße 11;Baden-Württemberg;ALT GT A (Solo);1971;in Betrieb;Mehrere Energieträger;Erdgas;Mineralölprodukte;Erdgas;Nein;Nein;50,0;Altbach;110;Netze BW GmbH
BNA0017;EnBW Energie Baden-Württemberg AG;Heizkraftwerk Altbach/Deizisau;73776;Altbach;Industriestraße 11;Baden-Württemberg;ALT GT B;1973;in Betrieb;Mehrere Energieträger;Erdgas;Mineralölprodukte;Erdgas;Nein;Nein;57,0;Altbach;110;Netze BW GmbH
BNA0018;EnBW Energie Baden-Württemberg AG;Heizkraftwerk Altbach/Deizisau;73776;Altbach;Industriestraße 11;Baden-Württemberg;ALT GT C;1975;in Betrieb;Mehrere Energieträger;Erdgas;Mineralölprodukte;Erdgas;Nein;Nein;81,0;Altbach;110;Netze BW GmbH
BNA0019;EnBW Energie Baden-Württemberg AG;Heizkraftwerk Altbach/Deizisau;73776;Altbach;Industriestraße 11;Baden-Württemberg;ALT HKW 2 (DT Solobetrieb);1997;in Betrieb;Steinkohle;;;Steinkohle;Nein;Ja;336,0;Altbach;380;Transnet BW GmbH
BNA0020;EnBW Energie Baden-Württemberg AG;Heizkraftwerk Altbach/Deizisau;73776;Altbach;Industriestraße 11;Baden-Württemberg;ALT HKW 1;1985;Netzreserve;Steinkohle;;;Steinkohle;Nein;Ja;433,0;Altbach;380;Transnet BW GmbH
BNA1646;;WP Holtsee-Altenhof;24340;Altenhof;Gemarkung Altenhof, Flur 7, Flurstück 4/1;Schleswig-Holstein;;2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;12,8;;HS;Schleswig-Holstein Netz AG
BNA0021;Heizkraftwerk Altenstadt GmbH & Co. KG;HKW Altenstadt;86972;Altenstadt;Triebstraße 90;Bayern;;1999;in Betrieb;Biomasse;Holzhackschnitzel;;Biomasse;Ja;Nein;9,8;;MS;LEW Verteilnetz GmbH
BNA1100;ENGIE WP Portfolio 2 GmbH;Windpark Alterkülz-Spesenroth;56288;Alterkülz-Spesenroth;;Rheinland-Pfalz;;2008;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;14;;20;Westnetz GmbH
