12-40710010000,BNA0790,Vattenfall Europe Generation AG,KW Jänschwalde,Brandenburg,1989,in Betrieb,Braunkohle,Ja,465.0
14-70-46630660001,BNA0122,Vattenfall Europe Generation AG,Boxberg,Sachsen,1979,in Betrieb,Braunkohle,Ja,465.0
14-70-46630660001,BNA0123,Vattenfall Europe Generation AG,Boxberg,Sachsen,1980,in Betrieb,Braunkohle,Ja,465.0
12-40710010000,BNA0785,Vattenfall Europe Generation AG,KW Jänschwalde,Brandenburg,1981,in Betrieb,Braunkohle,Ja,465.0
12-40710010000,BNA0788,Vattenfall Europe Generation AG,KW Jänschwalde,Brandenburg,1985,in Betrieb,Braunkohle,Ja,465.0
12-40710010000,BNA0786,Vattenfall Europe Generation AG,KW Jänschwalde,Brandenburg,1982,in Betrieb,Braunkohle,Ja,465.0
12-40710010000,BNA0787,Vattenfall Europe Generation AG,KW Jänschwalde,Brandenburg,1984,in Betrieb,Braunkohle,Ja,465.0
12-40710010000,BNA0789,Vattenfall Europe Generation AG,KW Jänschwalde,Brandenburg,1987,in Betrieb,Braunkohle,Ja,465.0
,BNA1818,RheinEnergie AG,Niehl 3,Nordrhein-Westfalen,2016,in Betrieb,Erdgas,Ja,459.9
12358,BNA0879,Uniper Kraftwerke GmbH ,Schkopau,Sachsen-Anhalt,1996,in Betrieb,Braunkohle,Ja,450.0
12358,BNA0878,Uniper Kraftwerke GmbH ,Schkopau,Sachsen-Anhalt,1996,in Betrieb,Braunkohle,Ja,450.0
06-05-900-0327252,BNA0450,Steag GmbH,KW Herne,Nordrhein-Westfalen,1989,in Betrieb,Steinkohle,Ja,449.0
,BNA1820,Gemeinschaftskraftwerk Bremen GmbH und Co. KG,KW Mittelsbüren,Bremen,2016,in Betrieb,Erdgas,Nein,444.5
,BNA0073,Vattenfall Europe Wärme AG,Mitte,Berlin,1996,in Betrieb,Erdgas,Ja,444.0
,BNA0745,Uniper Kraftwerke GmbH ,Franken 1,Bayern,1976,in Betrieb,Erdgas,Nein,440.0
06-08-2948214,BNA0646a,Grosskraftwerk Mannheim AG,GKM ,Baden-Württemberg,1993,in Betrieb,Steinkohle,Ja,435.0
,BNA0626,Kraftwerke Mainz-Wiesbaden AG,Kraftwerk Mainz,Rheinland-Pfalz,2001,in Betrieb,Erdgas,Ja,434.2
