plantid,sseid
03-09-09261732970,SEE967916097817
661-99,SEE941053107073
14-20-60319980000,SEE940178738247
14-20-60319980000,SEE923729511377
06-05-300-9046030,SEE903983424590
661-15,SEE921316314745
661-15,SEE900295294101
06-02-B28903H003,SEE906231810480
661-85,SEE914749097217
14-20-60319980000,SEE963962520354
661-85,SEE969792129750
06-09-100-0020-0001,SEE975793104498
06-05-300-0838652,SEE997867646000
661-75,SEE979899728817
13-60-34101,SEE911283118750
06-09-661-0020-0001,SEE915604855232
06-02-B28903H003,SEE991299080678
661-85,SEE900240101683
661-75,SEE930322571356
06-05-100-0154540,SEE906385906152
03-03-03267770260,SEE989834346082
661-91,SEE943297204990
661-67,SEE964215288830
06-05-100-0154540,SEE999839188105
06-05-100-0154540,SEE911257641864
06-05-100-0154540,SEE951458309484
06-08-3610519,SEE901884895389
03-03-03267770260,SEE917497526305
06-76400010631,SEE945436960576
06-09-362-0100-0001,SEE902725989434
14-70-46630660001,SEE968582186379
06-05-100-0248923,SEE993592183001
06-05-100-0248923,SEE925599434282
06-76400010631,SEE932621971301
661-28,SEE939138708956
06-09-362-0100-0001,SEE989785638618
06-90031210632,SEE916865356940
06-00004310411,SEE996136363488
06-00453010412,SEE969540726491
03-10-10257673950,SEE951620659119
06-00004310411,SEE963398776042
06-09-362-0100-0001,SEE908927793930
06-09-100-0020-0001,SEE912463283787
662-22,SEE959614237596
662-22,SEE967464788519
06-09-100-0020-0001,SEE945563004310
06-10-0075248,BNA0252
06-09-100-0020-0001,SEE921399860047
12-20730670000,SEE943750140889
03-10-10257673950,SEE921098709050
03-10-10257673950,SEE925192446583
661-14,SEE932929596862
03-06-06060116320,SEE999585452499
03-10-10257673950,SEE933564106935
06-00453010412,SEE914989602134
661-14,SEE951279779923
06-09-100-0001-0002,SEE948129095272
06-10-0020157,SEE950895373805
661-14,SEE903508467828
661-14,SEE921888721163
661-14,SEE939597247393
03-09-09281337040,SEE953784241926
06-09-362-0100-0001,SEE910326850336
662-22,SEE982248430859
06-09-100-0001-0002,SEE915883553447
03-10-10257673950,SEE979958390276
06-09-271-0260-0001,SEE931001040675
06-05-300-0079450,SEE991324265957
662-22,SEE918541277334
662-22,SEE970444408703
662-22,SEE978426302629
662-22,SEE976995281321
18042,SEE950355589975
661-80,SEE900953976684
661-80,SEE918912535520
06-09-271-0260-0001,SEE973101826070
661-80,SEE976263348152
662-22,SEE918548652318
03-01-01010157480,SEE920992144554
06-09-100-0001-0002,SEE973737205324
06-05-300-0923949,SEE915426748132
06-05-300-0923949,SEE961660070034
03-10-10257673950,SEE911671792326
03-10-10257673950,SEE929022761297
06-09-100-0001-0002,SEE924780675428
06-08-1195689,SEE962877818310
06-02-B28903H003,SEE972598164399
06-02-B10117A007,SEE913896693631
661-67,SEE917448747254
06-09-261-0007-0041,SEE956674158182
14-30-56918040000,SEE911097916719
06-04-11_2001178_8_1,SEE958310939391
06-09-261-0007-0041,SEE945807171310
06-90032200632,SEE979861364876
06-05-700-0020290,SEE998177335011
661-53,SEE992623649677
03-06-06060116320,SEE965551192713
06-09-600-0025-0001,SEE944095305490
06-08-1371304,BNA0934
06-05-100-0030712,SEE921706084241
06-05-100-0030712,SEE966083015792
06-02-B28903H003,SEE954367504490
03-01-01244641360,SEE987326760026
661-86,SEE940224582367
06-05-900-0125939,SEE942982288260
03-09-09281337040,SEE995754822537
07-05-8779480,SEE995077047419
06-05-300-9046030,SEE905192478234
06-05-900-9140178,SEE987970110314
15397,SEE943682372433
661-80,SEE996518986489
03-09-09281337040,SEE961202959384
06-05-900-9140178,SEE900628853036
661-86,SEE907508778663
06-05-300-0877384,SEE999117793854
06-05-300-0877384,SEE909886576275
661-18,SEE913556136355
661-87,SEE997988564504
661-83,SEE991633857065
661-83,SEE953872640426
06-05-100-0229264,SEE916495905242
661-105,SEE999181532861
06-08-2951606,BNA1200
06-14600010611,SEE982127973149
07-05-8290552,SEE914414538991
07-05-8290552,SEE920494524915
07-05-8290552,SEE976850689781
03-08-08271405180,SEE934529216348
661-83,SEE924909675933
06-09-500-0112-0001,SEE912764206645
06-09-500-0354-0002,SEE923769915258
06-09-500-0354-0002,SEE942019110397
661-105,SEE920193460095
06-09-600-0025-0001,SEE967844487346
06-05-100-0030712,SEE978399772948
06-00464020412,SEE971867565370
06-05-300-0370387,SEE916609233650
06-05-100-0030712,SEE960352714492
06-05-300-0370387,SEE984335626152
661-77,SEE972466462527
06-10-0020157,SEE975188536989
06-08-2948214,SEE909002940690
661-77,SEE949123804273
06-05-100-0030712,SEE968471468838
06-05-300-0923949,SEE978207781308
661-29,SEE918373264410
06-09-100-0088-0005,SEE996720450723
06-05-900-0888950,SEE924647197780
16874,SEE921449009914
06-09-100-0088-0005,SEE976219797843
06-09-100-0088-0005,SEE980327120226
06-05-900-0021170,BNA0110
06-05-300-0907015,SEE998558143099
661-12,SEE964121468647
03-02-02020049510,SEE963301495572
661-98,SEE912978354040
06-05-100-0229264,SEE915885358156
06-05-100-0229264,SEE922855765289
661-98,SEE955085348786
661-67,SEE902418917676
661-98,SEE905054165586
661-98,SEE970143794190
661-98,SEE960430412456
661-98,SEE910080930862
661-98,SEE916894674336
661-98,SEE921008505376
661-98,SEE971876915975
03-09-09281337040,SEE980976424690
03-09-09281337040,SEE987913244618
06-05-300-0326774,SEE983252937631
06-00453010412,SEE946744372112
06-09-178-0722-0001,SEE946394519998
06-09-178-0722-0001,SEE949201577754
661-115,SEE997706570718
06-05-300-0907015,SEE965327731764
16-62-09401231000,SEE926471060193
06-05-300-0370387,BNA1183
06-08-3610519,SEE991039408854
661-115,SEE977050146562
07-04-6021280,SEE996285049943
661-17,SEE953991032447
06-09-171-0009-0B01,SEE947816911833
06-09-187-4048-0001,SEE997682781566
07-04-6021280,SEE909927513559
06-05-100-0167182,SEE957083466325
14-70-46630660001,SEE907389779292
14-80-00009560000,SEE966331411864
06-05-300-9002708,SEE991220769276
06-05-300-9002708,SEE914857304191
06-05-300-9002708,SEE908089235248
06-05-300-9002708,BNA0199
03-02-02221253020,SEE923412553844
03-02-02221253020,SEE957201039868
12342,SEE934669010578
661-79,SEE954348740183
661-79,SEE935012767491
661-79,SEE950630767128
661-53,SEE991807535867
06-00000130433,SEE928580946900
06-00004310411,SEE961620762023
06-05-300-9046797,SEE969707026280
661-12,SEE908119179962
12-40520430000,SEE978888539755
12-40520430000,SEE946537967655
14-80-00009560000,SEE998199911088
06-08-2797933,SEE934927915690
661-110,SEE969748285110
06-05-900-0235121,SEE974045584156
06-08-9840001,SEE972356296461
06-05-300-0838652,SEE990603147649
06-05-900-0235121,SEE905229048430
06-08-2797933,SEE968136280119
13770,SEE959858570855
03-05-05050072350,SEE973250051972
12-40520430000,SEE941974735591
12-40716440000,SEE952672318108
03-01-01241117210,SEE998984420832
14-70-52316700250,SEE923918497345
03-09-09281566110,SEE977258693776
14-70-52316700250,SEE987679030500
14-70-52316700250,SEE932664806912
14-70-52316700250,SEE914224312040
14-70-52316700250,SEE903406002589
12-20730670000,SEE995943794058
14-70-52316700250,SEE995527175044
14-70-52316700250,SEE956441736957
14-70-52316700250,SEE970377695522
14-70-52316700250,SEE992079247007
12-20730670000,SEE954086855965
03-01-01241117210,SEE920837459195
06-08-1741292,SEE965782597448
661-39,SEE987361570932
12-30532000000,SEE994335340088
12-40669070000,SEE961788817153
07-05-8290552,SEE923421872301
12-40716440000,SEE938337436349
14326,SEE986097297199
07-05-8290552,SEE943309807898
06-09-600-0009-0001,SEE905714982744
07-05-8290552,SEE944122961347
662-10,SEE974711013546
06-05-100-0501870,SEE986145450682
662-10,SEE982556430190
13-50-138,SEE964935453853
13-50-138,SEE975464070619
16873,BNA1127
06-05-300-0079450,SEE968206101610
661-53,SEE926292106278
06-08-1741292,SEE975556152230
16873,BNA1128
13-50-138,SEE932265704129
06-11-01-1105503,SEE992187994404
06-11-01-1105503,SEE904819420762
06-11-01-1105503,SEE948541471333
662-10,SEE912935247576
03-31-31000005008,SEE950309975076
16-30-31400103005,BNA0343
12110,SEE976907281142
661-53,SEE932657881513
13-30-2102110,SEE942226311273
14-80-55047380000,SEE923244371197
13-30-2102110,SEE908746529123
06-05-100-0990908,BNA0753
14-80-55047380000,SEE936196276359
661-109,BNA0255
06-05-300-0079450,SEE998356674993
06-05-300-0079450,SEE922579581844
661-96,SEE958711841521
13-60-80407,SEE915945252462
06-09-273-0310-0001,SEE926120377375
13-60-80407,SEE964447287038
661-113,SEE959025997980
03-06-06060116320,SEE983959934148
03-10-10257401440,SEE967441234602
06-05-300-0215520,SEE971914041024
661-113,SEE963454497492
661-113,SEE998644964959
12358,SEE919134316447
06-50940010414,SEE988616317180
661-03,SEE914878135613
13-30-2102110,SEE916662059105
661-113,SEE994538470544
13-60-80407,SEE976858964187
661-103,SEE918916993708
03-10-10257401440,SEE950981928360
03-10-10257401440,SEE960254517375
661-03,SEE999966551940
661-113,SEE991087959599
06-05-100-0018507,SEE976415135319
12358,SEE947677200282
06-05-100-0989137,SEE952058615067
03-10-10257401440,SEE909297051026
661-110,SEE963023008050
661-94,SEE967194778880
06-08-2719371,SEE955482235511
06-09-564-0555-0001,SEE983724570465
661-110,SEE943101874623
661-82,SEE982892019516
06-05-100-0387357,SEE946501569267
662-28,SEE926900618322
661-94,SEE968254365774
12358,SEE960652233358
662-28,SEE907222955227
06-08-2719371,SEE902096864651
662-28,SEE929776487108
06-08-2719371,SEE914187135533
06-08-2719371,SEE912912423627
06-08-2719371,SEE937538401125
661-94,SEE901410470721
06-08-2719371,SEE974206815730
06-08-2719371,SEE916030519361
661-94,SEE950477241393
06-08-2719371,SEE909106315790
06-02-B2A100H003,BNA1294
06-05-700-9073419,SEE908154984538
12-40669070000,SEE971164680486
13770,SEE930522848685
662-09,SEE941844408532
13770,SEE912160334607
15397,SEE935952275827
13-30-1010101,SEE943427876363
16591,SEE988178455061
12-60510410000,SEE963827374382
06-00464010412,SEE994429144455
661-100,SEE918407219966
12-60510410000,SEE902267138956
661-100,SEE970401548961
06-05-700-9073419,SEE901925227438
15397,SEE976376888927
661-44,SEE958702894895
662-09,SEE905270326723
06-09-564-0555-0001,SEE946001068260
06-05-700-9073419,SEE968058469012
12-20730670000,SEE960529046555
06-05-300-0054298,BNA0544
13770,SEE947225300921
14-30-56918040000,SEE945682618689
06-05-700-9073419,SEE960916622249
662-09,SEE966844914388
18040,SEE998111672394
12-40669070000,SEE904165703137
13-40-1300408,SEE998526561375
12305,SEE900403199748
12305,SEE965768299069
12-40669070000,SEE918705951896
12-60510410000,SEE905035807238
06-08-2948214,SEE975507584615
01-50-56050192711,SEE960100973492
661-95,SEE906722372718
11975,SEE952937205877
06-09-600-0025-0001,SEE910471578864
03-07-07244473830,SEE930751125922
06-05-100-9021016,SEE910161577337
01-50-56050192711,SEE934530018092
16873,SEE970305352633
11975,SEE985453029962
661-112,SEE909727831365
06-02-B10117A007,SEE987197130805
661-108,SEE900758207372
13-60-80624,SEE905257392765
06-09-564-0555-0001,SEE992950044022
06-09-564-0555-0001,SEE992041330157
661-115,SEE927820549208
661-95,SEE944995057840
06-00176010435,SEE929161243203
07-05-8290552,SEE923480721565
06-05-800-0197010,SEE986331287955
06-08-1383701,SEE985331675700
06-09-761-0026-0001,SEE925694194494
661-66,SEE910951087138
06-05-800-0203946,SEE999145467468
06-05-100-0030723,BNA1084
06-09-178-0722-0001,SEE945332437417
06-09-178-0722-0001,SEE990748250273
06-09-178-0722-0001,SEE973218123130
06-76400010631,SEE993957305321
06-05-500-9981505,SEE910102553963
06-09-178-0722-0001,SEE943668244310
661-07,SEE923527691592
06-09-178-0722-0001,SEE966934929711
06-09-178-0722-0001,SEE942051897355
06-09-178-0722-0001,SEE921499316925
661-07,SEE988046628214
07-04-6048443,SEE900100287427
07-04-6048443,SEE924235173530
06-05-300-9046797,SEE941166182769
06-09-100-0088-0001,SEE952372080091
03-01-01010959490,SEE963817764100
06-09-600-0009-0001,SEE956216040883
06-09-600-0009-0001,SEE943766131437
661-07,SEE929797382345
14-60-48821410003,SEE933960350956
06-08-3042693,SEE974753539035
661-07,SEE930596800480
06-00464010412,SEE917943562765
06-00464010412,SEE915289541482
06-11-01-1105604,SEE981109871657
06-04-11_2001178_8_0,SEE968950464368
03-06-06060316030,SEE932928232242
06-05-900-0327252,SEE945908806647
06-05-100-0989137,SEE986520256656
03-06-06060316030,SEE987633796220
06-10-00101000,SEE987838157994
03-09-09281337040,SEE903702464654
666-18,SEE985577062814
06-14600010611,SEE928076311489
12-50724070000,SEE983877705974
06-05-300-9046797,SEE976193474983
12-40710010000,SEE964729462818
06-14600010611,SEE994210380116
03-07-07244473830,SEE948481095354
661-82,SEE922981583535
06-00059010413,SEE954169155876
06-05-100-0365906,SEE978389589440
06-10-0020157,SEE979779484642
666-17,SEE944567587799
01-50-01000004838,SEE957285549260
666-16,SEE943690268513
662-17,SEE953718174887
661-67,SEE942008424429
661-16,SEE961687984079
661-16,SEE906061539261
14-60-48821410003,SEE923082939436
06-11-01-1105609,SEE974883809046
06-08-4124448,SEE981220191160
12-50724070000,SEE989393516094
06-05-700-0105516,SEE937052769589
06-11-01-1105609,SEE989328541450
12-40710010000,SEE985047526785
12-50724070000,SEE980421575656
12-50724070000,SEE992841152355
06-09-171-0009-0B01,SEE903050601572
12-50724070000,SEE957496380690
14-20-48821410003,BNA0178
666-14,SEE951462745445
01-50-04000082392,SEE961021885321
06-09-100-0003-0003,SEE962777669616
03-01-01241117210,SEE917432813484
666-12,BNA0802
06-08-1741292,SEE944503176377
06-05-100-0031758,BNA0211
06-09-100-0003-0003,SEE958847865460
06-05-500-0338944,SEE970816213751
03-01-01012110180,BNA0439
06-05-500-0342658,SEE989054024678
12-40710010000,SEE923943268279
03-01-01241117210,SEE959000487536
01-50-01000004838,SEE990438768378
06-08-1020129,SEE948609940009
03-01-01010157480,SEE996990805407
06-08-2797933,SEE980016033738
06-08-1195689,SEE905714722562
03-01-01244641360,SEE935395375856
661-19,SEE940039139749
06-05-900-0865327,SEE964242179781
666-11,SEE927528071629
06-05-900-0865327,BNA1046a
12-40710010000,SEE989591633753
666-13,SEE930752846949
06-10-00100999,SEE954971534470
06-00453010412,SEE948546582201
06-05-500-0875741,SEE923577153439
06-05-100-0989137,SEE970931306376
06-05-300-0890760,SEE937236372871
03-05-05231382180,SEE967243760361
661-67,SEE907828499484
662-18,SEE922964729325
06-09-671-0140-0001,SEE971943692655
662-14,SEE905937514456
06-90032200632,SEE975193004329
662-14,SEE981924913907
662-14,SEE960317505882
06-76400010631,SEE925631744058
06-00453010412,SEE919137629452
662-14,SEE925076352665
01-50-04000082392,SEE953266686481
06-08-2948214,SEE988699847857
06-05-900-0045033,BNA1037
06-10-00101000,SEE923485223774
12-40710010000,SEE938669585906
06-10-00101000,SEE919393178787
06-11-01-1105501,SEE965333653821
06-09-500-0354-0002,SEE976880282228
06-09-500-0354-0002,SEE949895584069
06-08-1195689,SEE998383491525
06-08-2142201,SEE911613995433
06-05-900-0080266,SEE987407788451
06-05-700-0008683,SEE986959633936
12-40710010000,SEE991817093418
661-64,SEE959343099212
06-08-1574906,SEE993713255198
06-11-01-1105501,SEE997719859992
06-11-01-1105501,SEE988684097793
07-05-8153238,SEE969051180959
06-05-900-0205103,SEE930673793902
06-50940010414,SEE913609763316
06-05-300-9046797,SEE968234156613
06-05-300-0072412,SEE914128531905
06-05-900-0080266,SEE972461974179
18042,SEE979396678813
661-67,SEE945580171361
06-00453010412,SEE928072880231
06-08-3042693,SEE963177319026
06-08-3042693,SEE950005518836
06-05-700-0020290,SEE995462815548
14-70-46630660001,SEE908125004449
661-81,SEE946665101624
06-09-100-0088-0005,SEE901789931854
06-09-100-0088-0005,SEE907223904750
06-05-300-0072412,SEE912440649056
06-09-100-0088-0005,SEE985585573104
661-104,SEE958184152735
14-70-46630660001,SEE985842749525
661-18,SEE929198153032
06-08-34064722,SEE975166535577
03-01-01010098080,SEE904194792843
06-09-171-0009-0B01,SEE956085205437
06-05-300-0072412,SEE927622980674
06-04-11_2001178_8_1,BNA0146
662-18,SEE917962193414
06-09-500-0112-0001,SEE934668342441
06-05-100-9020309,SEE945071514516
06-50940010414,SEE969023487444
662-18,SEE987736068934
662-17,SEE994661495704
662-17,SEE937914003899
661-06,SEE974201537415
06-05-700-0020290,SEE985796237000
06-05-100-9020309,SEE977708202411
06-05-100-0167182,BNA0221c
07-04-6021280,SEE982563254987
06-00176010435,SEE988182827533
06-08-4666496,SEE945038569870
03-10-10100029340,SEE920672219015
06-11-01-1105608,SEE945212899878
06-11-01-1105608,SEE956656118067
06-11-01-1105608,BNA0083
06-50940010414,SEE964717210810
07-04-6021280,SEE969670581717
06-11-01-1105603,SEE962934119541
06-05-100-0989137,SEE964450365167
03-09-09281566110,SEE907162822238
661-88,SEE983807255883
06-10-00101003,SEE906326984744
06-09-100-0003-0003,SEE949509046600
06-05-100-0248923,SEE976414005279
661-96,SEE952340290002
03-09-09281566110,SEE934897209904
661-96,SEE936873341158
661-96,SEE934554511586
06-11-01-1105603,SEE926090463146
661-37,SEE982512881400
06-19200010636,SEE990015251552
06-05-300-0877384,SEE955314088254
06-04-11_2001178_8_2,SEE924172977710
06-05-100-0248923,SEE931736847297
03-10-10257673950,SEE994418588468
03-03-03030273580,SEE970688261195
06-09-500-0368-0001,SEE922477386435
06-09-500-0368-0001,SEE982367992610
06-05-900-0045033,SEE911202451180
06-05-100-0167182,SEE972458947407
662-03,SEE904088512342
06-05-900-0045033,SEE930159654734
661-78,SEE942845579245
662-03,SEE994391041424
06-08-1741292,SEE904161631090
01-50-04000082392,SEE934591835126
06-09-100-0001-0002,SEE963541517812
03-06-06060116320,SEE907933719545
669-01,SEE983645175053
06-05-300-0326774,SEE957229968300
06-05-100-0229264,SEE964745752825
06-05-300-0326774,SEE921905907730
06-08-1195689,SEE951401550147
06-05-300-0877384,SEE987007884447
06-11-01-1105607,BNA0076
06-08-1195689,SEE992973663477
06-08-1195689,SEE985887784048
03-10-10257673950,SEE985908351792
06-05-500-0875741,SEE934361309352
06-05-100-0167182,SEE989503748513
06-05-900-0865327,SEE995899706617
06-05-900-0865327,SEE939426112649
03-04-04224004080,SEE907597880766
06-05-900-0865327,SEE932787342328
06-08-1741292,SEE963975943188
06-09-500-0368-0001,SEE911764038249
661-38,SEE908238702164
06-05-900-0865327,BNA1041
661-64,SEE997526539162
662-12,SEE987807988154
06-05-100-0248923,SEE978971638464
03-09-09281337040,SEE997216629753
661-38,SEE971801168636
669-01,SEE950675787617
06-05-900-0865327,SEE923304040681
03-04-04224004080,SEE950589701143
06-05-900-0865327,SEE908672656115
06-05-500-0875741,SEE984037976906
03-06-06254353820,SEE999346426134
06-05-900-0865327,SEE942237774470
06-11-01-1105607,BNA0075
03-06-06254353820,SEE976333173899
662-11,SEE911567250299
06-05-100-0248923,SEE907150117643
06-05-100-0248923,SEE979012663285
06-05-100-0167182,SEE976549634931
12-20730670000,SEE906257837416
06-09-190-0036-0002,SEE931986160672
662-06,SEE957900196671
661-66,SEE957488519732
06-05-100-9021016,SEE980525088564
06-11-01-1105604,SEE992645841813
06-11-01-1105604,SEE963909310185
661-65,SEE922153723905
06-05-500-0875741,SEE938923083674
06-08-1741292,SEE971282697380
06-08-1574906,SEE986713152253
03-01-01010157480,SEE975094128629
06-05-300-9046797,SEE945462188876
06-05-300-0326774,SEE930228090937
06-09-600-0025-0001,SEE972526098451
06-05-300-0181417,SEE991627285584
06-08-1574906,SEE994027750690
06-08-4380932,BNA0011
06-05-300-0326774,BNA0711
06-05-300-0326774,BNA0710
06-05-100-0081105,BNA0303
06-05-900-0079017,BNA0415
06-05-900-0079017,BNA0414
06-05-100-0081105,BNA0304
06-05-112-0458158,BNA0212
06-05-100-0081105,BNA0302
661-63,BNA0118
06-05-900-0079017,BNA0413b
06-05-300-0877384,BNA1022
06-05-900-0271161,BNA0448
18038,BNA0680
12-50724070000,BNA0735
06-05-500-0875741,BNA0661
12-50724070000,BNA0736
12-50724070000,BNA0737
661-59,SEE902796244388
661-36,BNA1225
06-08-3610519,SEE946029200710
06-05-300-9046797,SEE989771083484
06-05-700-0090319,BNA0812
06-05-100-0081105,BNA0308
06-05-100-0081105,BNA0305
06-05-100-0081105,BNA0306
06-05-100-0081105,BNA0309
06-05-100-0081105,BNA0310
06-05-100-0081105,BNA0311
06-05-100-0081105,BNA0312
06-05-500-0915123,BNA0188
06-05-500-0915123,BNA0187
06-00176010435,BNA0375
661-92,BNA0913
06-05-100-0081105,BNA0307
06-05-500-0915123,BNA0189
06-26200010633,BNA0059a
06-00176010435,BNA0376
01-50-01000004838,BNA0269
06-05-300-0326774,SEE901786750397
06-05-300-0877384,BNA1021
661-36,BNA1226
06-05-500-0342658,BNA0335
06-08-3042693,BNA0799
06-05-700-0090319,BNA0813
661-09,BNA0099
01-50-01000004838,BNA0273
666-15,BNA0355
06-05-800-0203946,BNA0490b
06-08-2948214,BNA0642
06-09-100-0088-0003,BNA0681
06-08-2948214,BNA0643
662-20,BNA1338
06-09-100-0088-0003,BNA0682
661-84,BNA0810
06-05-500-0342658,BNA0333
662-01,BNA0161
14326,BNA0922a
06-11-01-1105607,BNA0080
06-04-11_2001178_8_0,BNA0140
661-11,BNA1276
661-13,BNA1275
06-04-11_2001178_8_1,BNA0145
06-05-900-0320357,BNA0203
06-05-900-0327252,BNA0447
06-05-100-0365906,BNA0215
661-84,BNA0811
06-05-500-0342658,BNA0334
06-05-100-0853075,BNA0990
662-01,BNA0162
06-05-100-0081105,SEE999431209765
662-01,BNA0163
01-50-02000283604,BNA0526
662-01,BNA0164
06-05-900-0884101,BNA0619
03-07-07244141350,BNA0012d
06-05-100-0431554,BNA0991
06-05-100-0431554,BNA0992
06-05-100-0853075,BNA0989
06-00464020412,BNA0288
666-11,BNA0381
06-05-900-0079017,BNA0413a
01-50-01000004838,BNA0274
06-05-900-0327252,BNA0449
03-03-03030273580,BNA0918a
06-08-1371304,BNA0933
06-05-900-0045033,BNA1035
06-04-11_2039669_2_0,SEE904968236689
06-11-01-1105602,BNA0082
06-05-500-0342658,SEE933236950972
661-16,SEE960507530304
06-05-500-0342658,SEE952352206145
06-09-190-0036-0002,SEE917211801770
661-16,SEE994422897143
06-05-100-9021016,SEE917033307511
06-90031210632,SEE952488583202
06-05-100-9021016,SEE993301547841
06-09-171-0002--C01,SEE927473609168
06-08-2142201,SEE964114029633
06-90032200632,SEE993412996354
06-05-300-0877384,SEE933685962403
03-09-09281337040,SEE988265559689
